name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_ratdor,pl_ratror,pl_orbincl,tran_flag,ttv_flag,e_min_1yr_erg,e_max_1yr_erg,e_min_3yr_erg,e_max_3yr_erg,annual_flare_freq,fficat_id,distancepc,obspermission,host_pmra,host_pmdec,host_parallax,host_radv,Star_Lx,Star_FUV,Star_NUV,Star_EUV,Star_FXUV,Star_NSPE,Aspot_p,Phi_p,B_dyn_p,Star_E_max_method,Star_E_max_1yr,Star_E_max_3yr,Star_E_min_1yr,Star_E_min_3yr,Star_AnnFreq,XEUV_AN,XEUV_PER_EARTH,Plage_factor,Faculae_factor,Network_factor,Sunspot_factor,Star_R_X,Custom1,Custom2,Custom3,Custom4
ASol b(100MY),Confirmed,0.000174,,,,,,0.034,,,87.969,,,0.387,,,0.206,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mercury,Young Sun(100MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.7,,,G3,0.1,,,5750,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Young hot Mercury,AlfvenRadiusAU=0.180,Airless rocky surface; weak field / solar-wind sputtering baseline,Kept as same-orbit rocky baseline until detailed Mercury paleo data are supplied
ASol b(500MY),Confirmed,0.000174,,,,,,0.034,,,87.969,,,0.387,,,0.206,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mercury,Young Sun(500MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.9,,,G3,0.5,,,5672,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Young hot Mercury,AlfvenRadiusAU=0.120,Airless rocky surface; weak field / solar-wind sputtering baseline,Kept as same-orbit rocky baseline until detailed Mercury paleo data are supplied
ASol b(700MY),Confirmed,0.000174,,,,,,0.034,,,87.969,,,0.387,,,0.206,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mercury,Young Sun(700MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.903,,,G3,0.7,,,5675,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Young hot Mercury,AlfvenRadiusAU=0.100,Airless rocky surface; weak field / solar-wind sputtering baseline,Kept as same-orbit rocky baseline until detailed Mercury paleo data are supplied
ASol b(1000MY),Confirmed,0.000174,,,,,,0.034,,,87.969,,,0.387,,,0.206,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mercury,Young Sun(1000MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.908,,,G3,1.0,,,5678,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Young hot Mercury,AlfvenRadiusAU=0.080,Airless rocky surface; weak field / solar-wind sputtering baseline,Kept as same-orbit rocky baseline until detailed Mercury paleo data are supplied
ASol b(1500MY),Confirmed,0.000174,,,,,,0.034,,,87.969,,,0.387,,,0.206,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mercury,Young Sun(1500MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.918,,,G3,1.5,,,5695,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Mercury dry airless baseline,AlfvenRadiusAU=0.060,Airless rocky surface; weak field / solar-wind sputtering baseline,Kept as same-orbit rocky baseline until detailed Mercury paleo data are supplied
ASol b(2000MY),Confirmed,0.000174,,,,,,0.034,,,87.969,,,0.387,,,0.206,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mercury,Young Sun(2000MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.925,,,G2V,2.0,,,5706,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Mercury dry airless baseline,AlfvenRadiusAU=0.045,Airless rocky surface; weak field / solar-wind sputtering baseline,Kept as same-orbit rocky baseline until detailed Mercury paleo data are supplied
ASol b(2500MY),Confirmed,0.000174,,,,,,0.034,,,87.969,,,0.387,,,0.206,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mercury,Young Sun(2500MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.944,,,G2V,2.5,,,5724,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Mercury dry airless baseline,AlfvenRadiusAU=0.035,Airless rocky surface; weak field / solar-wind sputtering baseline,Kept as same-orbit rocky baseline until detailed Mercury paleo data are supplied
ASol b(3000MY),Confirmed,0.000174,,,,,,0.034,,,87.969,,,0.387,,,0.206,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mercury,Sun(3000MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.955,,,G2V,3.0,,,5736,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Mercury dry airless baseline,AlfvenRadiusAU=0.028,Airless rocky surface; weak field / solar-wind sputtering baseline,Kept as same-orbit rocky baseline until detailed Mercury paleo data are supplied
ASol b(3500MY),Confirmed,0.000174,,,,,,0.034,,,87.969,,,0.387,,,0.206,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mercury,Sun(3500MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.97,,,G2V,3.5,,,5753,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Mercury dry airless baseline,AlfvenRadiusAU=0.023,Airless rocky surface; weak field / solar-wind sputtering baseline,Kept as same-orbit rocky baseline until detailed Mercury paleo data are supplied
ASol b(4000MY),Confirmed,0.000174,,,,,,0.034,,,87.969,,,0.387,,,0.206,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mercury,Sun(4000MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.982,,,G2V,4.0,,,5770,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Mercury dry airless baseline,AlfvenRadiusAU=0.020,Airless rocky surface; weak field / solar-wind sputtering baseline,Kept as same-orbit rocky baseline until detailed Mercury paleo data are supplied
ASol c-ocean(100MY),Confirmed,0.002564,,,,,,0.0850,,,224.701,,,0.723,,,0.0067,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Venus,Young Sun(100MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.7,,,G3,0.1,,,5750,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Ocean Venus,AlfvenRadiusAU=0.180,Ocean-bearing young Venus; possible temperate clouds,TextureHint=paleo_venus_young_ocean
ASol c-drying(1500MY),Confirmed,0.002564,,,,,,0.0850,,,224.701,,,0.723,,,0.0067,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Venus,Young Sun(1500MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.918,,,G3,1.5,,,5695,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Drying Venus,AlfvenRadiusAU=0.060,Ocean-loss transition; no stable surface ocean,TextureHint=paleo_venus_drying
ASol c-runaway(4000MY),Confirmed,0.002564,,,,,,0.0850,,,224.701,,,0.723,,,0.0067,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Venus,Sun(4000MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.982,,,G2V,4.0,,,5770,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Runaway greenhouse Venus,AlfvenRadiusAU=0.020,Dry CO2-rich runaway greenhouse / acid cloud world,TextureHint=paleo_venus_runaway
ASol b1(100MY),Confirmed,0.002564,,,,,,0.0850,,,224.701,,,0.723,,,0.0067,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Venus,Young Sun(100MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.7,,,G3,0.1,,,5750,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Ocean Venus legacy,AlfvenRadiusAU=0.180,Venus narrative alias retained for current renderer,Legacy texture-compatible alias
ASol b2(1500MY),Confirmed,0.002564,,,,,,0.0850,,,224.701,,,0.723,,,0.0067,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Venus,Young Sun(1500MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.918,,,G3,1.5,,,5695,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Drying Venus legacy,AlfvenRadiusAU=0.060,Venus narrative alias retained for current renderer,Legacy texture-compatible alias
ASol b3(now),Confirmed,0.002564,,,,,,0.0850,,,224.701,,,0.723,,,0.0067,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Venus,Sun(4000MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.982,,,G2V,4.0,,,5770,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Runaway greenhouse Venus legacy,AlfvenRadiusAU=0.020,Venus narrative alias retained for current renderer,Legacy texture-compatible alias
ASol e (Noachian Mars),Confirmed,0.000338064,,,,,,0.047505,,,686.98,,,1.5236623,,,0.093,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mars,Young Sun(500MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.9,,,G3,0.5,,,5672,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Noachian Mars,AlfvenRadiusAU=0.120,Water-rich Mars; valley networks; potential early habitability,TextureHint=paleo_mars_noachian
ASol e1(Hesperian),Confirmed,0.000338064,,,,,,0.047505,,,686.98,,,1.5236623,,,0.093,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mars,Young Sun(1000MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.908,,,G3,1.0,,,5678,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Hesperian Mars,AlfvenRadiusAU=0.080,Volcanic/acidic transition; drying and sulfate-rich surface,TextureHint=paleo_mars_hesperian
ASol e2(Amazonian),Confirmed,0.000338064,,,,,,0.047505,,,686.98,,,1.5236623,,,0.093,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mars,Sun(3000MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.955,,,G2V,3.0,,,5736,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Amazonian Mars,AlfvenRadiusAU=0.028,Cold dry desert Mars; thin atmosphere,TextureHint=paleo_mars_amazonian
ASol e3(Present Mars),Confirmed,0.000338064,,,,,,0.047505,,,686.98,,,1.5236623,,,0.093,,,,,,,-2000,1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Synthetic paleo overlay,Solar System paleo model,Assumed Solar System value,Assumed Solar System value,Paleo Solar System overlay,Mars,Sun(4000MY),0.0,0.0,0.0,,,,,0.0,,,0.0,,,1.0,,,0.982,,,G2V,4.0,,,5770,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,,,PaleoTable,1.3e+25,1.3e+24,,,,,,,,,,,Present Mars,AlfvenRadiusAU=0.020,Desiccated oxidized acidic/dusty surface; residual polar volatiles,TextureHint=paleo_mars_amazonian
